tile,n_pixels,rmse,mae,bias,r2,true_mean,true_std,pred_mean,cci_sd_mean,cci_sd_rms,frac_sd_gt0,rmse_over_cci_sd,frac_within_1sd,frac_within_2sd
lat+62.4412_lon+015.6524_00002,65536,20.490192413330078,16.255599975585938,6.726996898651123,0.6697178884805943,66.74761962890625,35.65361022949219,73.47461700439453,36.54231262207031,41.2744140625,0.934173583984375,0.4964381158351898,0.8788017379373427,0.9685407206559733
lat+65.7008_lon+018.6209_00087,65536,20.608179092407227,15.968531608581543,11.585232734680176,0.5489218965223958,45.39695739746094,30.684125900268555,56.98219299316406,27.98126220703125,33.67584228515625,0.8592529296875,0.6119573712348938,0.8180849552493252,0.9432802954965194
lat+68.1915_lon+020.2047_00088,65536,20.627294540405273,15.327169418334961,-12.088956832885742,0.34435404754087307,28.827301025390625,25.474613189697266,16.738344192504883,16.871337890625,22.42744255065918,0.6839752197265625,0.9197345972061157,0.6172225320691578,0.9674065811489124
lat+58.5880_lon+015.6400_00000,65536,20.62990951538086,15.381153106689453,-5.582254409790039,0.8507227219311999,78.28706359863281,53.394989013671875,72.70480346679688,37.92790222167969,46.315399169921875,0.7862701416015625,0.4454222619533539,0.8969124182499175,0.9567622115701838
lat+64.5377_lon+014.8876_00031,65536,20.812660217285156,16.344181060791016,12.699287414550781,0.653024362102093,50.858428955078125,35.332801818847656,63.557716369628906,30.4923095703125,37.18113327026367,0.86138916015625,0.55976402759552,0.8267731878409976,0.9537483171543967
lat+59.2563_lon+015.3601_00086,65536,20.928386688232422,13.832287788391113,6.831199645996094,0.8390320874010762,34.12077331542969,52.163421630859375,40.95197296142578,17.205718994140625,31.783964157104492,0.427215576171875,0.6584573984146118,0.6827273376669762,0.766376169726409
lat+67.0744_lon+021.4346_00084,65536,21.007816314697266,16.464582443237305,11.949312210083008,0.4696158818818522,46.17912292480469,28.84600257873535,58.12843322753906,26.991409301757812,31.784408569335938,0.9259185791015625,0.6609472036361694,0.7860944941579736,0.9299945617244277
lat+64.6657_lon+014.1359_00075,65536,21.098756790161133,15.714202880859375,12.327859878540039,0.6633053730901763,41.14402770996094,36.36124801635742,53.471885681152344,21.756942749023438,29.56156349182129,0.6826934814453125,0.7137226462364197,0.7390089626964083,0.9472296104244429
lat+62.9300_lon+016.0267_00016,65536,21.288166046142578,16.44063377380371,2.8606550693511963,0.761438026515111,72.23373413085938,43.585060119628906,75.09439086914062,37.80426025390625,43.851322174072266,0.8757781982421875,0.48546236753463745,0.8684031710079275,0.9557626970990505
lat+57.2128_lon+016.0797_00030,65536,21.549053192138672,16.56350326538086,-1.1880193948745728,0.7753966640120845,83.81546020507812,45.46949005126953,82.62744140625,47.88890075683594,54.74201202392578,0.8868865966796875,0.3936474323272705,0.9107926294238081,0.9530306419145606
lat+57.0668_lon+015.7669_00046,65536,21.58184051513672,16.780670166015625,-2.7035281658172607,0.6241528594987399,90.31465148925781,35.2032585144043,87.61112213134766,52.26646423339844,55.99795913696289,0.9666290283203125,0.3854040503501892,0.9381679268812452,0.9727383226254558
lat+60.4972_lon+017.0285_00042,65536,21.661516189575195,17.18060302734375,7.068783283233643,0.7392325745047461,95.39459228515625,42.41917037963867,102.46337890625,53.34123229980469,58.53594970703125,0.933837890625,0.3700549304485321,0.9241830065359478,0.9698039215686275
lat+57.1454_lon+014.4573_00003,65536,21.897884368896484,17.131258010864258,0.10049927234649658,0.7420025137672994,80.29119873046875,43.11162567138672,80.39169311523438,40.87248229980469,46.35641098022461,0.9237823486328125,0.47238093614578247,0.862572471548207,0.9454914851092648
lat+63.1528_lon+012.8403_00036,65536,21.992433547973633,14.753990173339844,12.24899673461914,0.36511583003849646,25.383544921875,27.601078033447266,37.63254165649414,11.997787475585938,18.03292465209961,0.6716766357421875,1.2195711135864258,0.43020059519752835,0.812421908721234
lat+58.5547_lon+011.5871_00007,65536,22.585800170898438,16.909055709838867,-1.4489556550979614,0.8150923376911161,72.26353454589844,52.52402877807617,70.8145751953125,40.33891296386719,49.915950775146484,0.801788330078125,0.4524766206741333,0.860769611388117,0.9389106687473833
lat+61.4486_lon+016.2067_00037,65536,22.723039627075195,18.166946411132812,-1.924626111984253,0.7186480432078293,76.81929016113281,42.839210510253906,74.89466857910156,41.73194885253906,48.35203170776367,0.9166412353515625,0.4699500501155853,0.8617848284587085,0.9462820235380287
lat+59.5245_lon+012.4389_00048,65536,23.025863647460938,18.4132137298584,-4.508344650268555,0.8153785205355542,80.2259521484375,53.588897705078125,75.71760559082031,43.1259765625,51.64678955078125,0.7784576416015625,0.44583338499069214,0.9315130250700747,0.9694807613148558
lat+60.7081_lon+014.4537_00035,65536,23.111915588378906,18.687644958496094,-10.10427474975586,0.7288988794562519,67.75137329101562,44.38848114013672,57.647098541259766,36.955078125,44.371604919433594,0.8454132080078125,0.5208717584609985,0.887898204133201,0.9558162620702103
lat+59.0350_lon+011.8953_00023,65536,23.280109405517578,17.75206756591797,2.3177714347839355,0.7927925224383974,71.89349365234375,51.142539978027344,74.21126556396484,35.82279968261719,44.13765335083008,0.7794952392578125,0.5274432897567749,0.8450034256631105,0.9256141724576686
lat+59.2427_lon+012.1579_00022,65536,23.444923400878906,18.223430633544922,3.435605525970459,0.8317985265915046,72.98416137695312,57.165489196777344,76.41976928710938,29.9139404296875,37.93544006347656,0.7278594970703125,0.6180216670036316,0.8234837844070355,0.9204209555355234
lat+57.4842_lon+016.6536_00089,65536,23.568601608276367,18.230266571044922,15.602322578430176,0.648849297364304,39.014251708984375,39.77288055419922,54.6165771484375,15.702041625976562,23.02545738220215,0.58441162109375,1.0235888957977295,0.6603133159268929,0.8308877284595301
lat+65.3238_lon+017.8477_00051,65536,24.094751358032227,18.874788284301758,16.110984802246094,0.2830114395887471,47.42027282714844,28.455507278442383,63.53125762939453,24.617584228515625,28.53754997253418,0.89697265625,0.8443174362182617,0.691837915078933,0.9165759390310289
lat+63.3475_lon+016.2011_00079,65536,24.2011661529541,19.71855926513672,16.782726287841797,0.5001886002134865,62.10011291503906,34.23207473754883,78.88284301757812,29.028366088867188,32.43003463745117,0.9751739501953125,0.7462577819824219,0.7329171165250591,0.9197139682986747
lat+66.2111_lon+017.0172_00017,65536,24.285846710205078,19.315839767456055,9.90601634979248,0.40762609854939125,54.0301513671875,31.55406379699707,63.93616485595703,31.533966064453125,36.6739501953125,0.8396148681640625,0.6622097492218018,0.8274420717855521,0.9577101317582917
